Name;Id
Coal0117;TRAPI2MF7^1
Coal0217;TRAPI2MG7^1
Coal0317;TRAPI2MH7^1
Coal0417;TRAPI2MJ7^1
Coal0517;TRAPI2MK7^1
Coal0617;TRAPI2MM7^1
Coal0717;TRAPI2MN7^1
Coal0116;TRAPI2MF6^1
Coal0216;TRAPI2MG6^1
Coal0316;TRAPI2MH6^1
Coal0416;TRAPI2MJ6^1
Coal0516;TRAPI2MK6^1
Coal0616;TRAPI2MM6^1
Coal0716;TRAPI2MN6^1
Coal0816;TRAPI2MQ6^1
Coal0916;TRAPI2MU6^1
Coal1016;TRAPI2MV6^1
Coal1116;TRAPI2MX6^1
Coal1216;TRAPI2MZ6^1
Coal0115;TRAPI2MF5^1
Coal0215;TRAPI2MG5^1
Coal0315;TRAPI2MH5^1
Coal0415;TRAPI2MJ5^1
Coal0515;TRAPI2MK5^1
Coal0615;TRAPI2MM5^1
Coal0715;TRAPI2MN5^1
Coal0815;TRAPI2MQ5^1
Coal0915;TRAPI2MU5^1
Coal1015;TRAPI2MV5^1
Coal1115;TRAPI2MX5^1
Coal1215;TRAPI2MZ5^1
Coal0114;TRAPI2MF4^1
Coal0214;TRAPI2MG4^1
Coal0314;TRAPI2MH4^1
Coal0414;TRAPI2MJ4^1
Coal0514;TRAPI2MK4^1
Coal0614;TRAPI2MM4^1
Coal0714;TRAPI2MN4^1
Coal0814;TRAPI2MQ4^1
Coal0914;TRAPI2MU4^1
Coal1014;TRAPI2MV4^1
Coal1114;TRAPI2MX4^1
Coal1214;TRAPI2MZ4^1
CoalFM;TRAPI2Mc1
CoalY;TRAPI2Yc1
