Name;Id
ElectricityBase0117;TRDEBMF7^1
ElectricityBase0217;TRDEBMG7^1
ElectricityBase0317;TRDEBMH7^1
ElectricityBase0417;TRDEBMJ7^1
ElectricityBase0517;TRDEBMK7^1
ElectricityBase0617;TRDEBMM7^1
ElectricityBase0717;TRDEBMN7^1
ElectricityBase0116;TRDEBMF6^1
ElectricityBase0216;TRDEBMG6^1
ElectricityBase0316;TRDEBMH6^1
ElectricityBase0416;TRDEBMJ6^1
ElectricityBase0516;TRDEBMK6^1
ElectricityBase0616;TRDEBMM6^1
ElectricityBase0716;TRDEBMN6^1
ElectricityBase0816;TRDEBMQ6^1
ElectricityBase0916;TRDEBMU6^1
ElectricityBase1016;TRDEBMV6^1
ElectricityBase1116;TRDEBMX6^1
ElectricityBase1216;TRDEBMZ6^1
ElectricityBase0115;TRDEBMF5^1
ElectricityBase0215;TRDEBMG5^1
ElectricityBase0315;TRDEBMH5^1
ElectricityBase0415;TRDEBMJ5^1
ElectricityBase0515;TRDEBMK5^1
ElectricityBase0615;TRDEBMM5^1
ElectricityBase0715;TRDEBMN5^1
ElectricityBase0815;TRDEBMQ5^1
ElectricityBase0915;TRDEBMU5^1
ElectricityBase1015;TRDEBMV5^1
ElectricityBase1115;TRDEBMX5^1
ElectricityBase1215;TRDEBMZ5^1
ElectricityBase0114;TRDEBMF4^1
ElectricityBase0214;TRDEBMG4^1
ElectricityBase0314;TRDEBMH4^1
ElectricityBase0414;TRDEBMJ4^1
ElectricityBase0514;TRDEBMK4^1
ElectricityBase0614;TRDEBMM4^1
ElectricityBase0714;TRDEBMN4^1
ElectricityBase0814;TRDEBMQ4^1
ElectricityBase0914;TRDEBMU4^1
ElectricityBase1014;TRDEBMV4^1
ElectricityBase1114;TRDEBMX4^1
ElectricityBase1214;TRDEBMZ4^1
ElectricityBaseQ117;TRDEBQH7^1
ElectricityBaseQ217;TRDEBQM7^1
ElectricityBaseQ317;TRDEBQU7^1
ElectricityBaseQ116;TRDEBQH6^1
ElectricityBaseQ216;TRDEBQM6^1
ElectricityBaseQ316;TRDEBQU6^1
ElectricityBaseQ416;TRDEBQZ6^1
ElectricityBaseQ115;TRDEBQH5^1
ElectricityBaseQ215;TRDEBQM5^1
ElectricityBaseQ315;TRDEBQU5^1
ElectricityBaseQ415;TRDEBQZ5^1
ElectricityBaseQ114;TRDEBQH4^1
ElectricityBaseQ214;TRDEBQM4^1
ElectricityBaseQ314;TRDEBQU4^1
ElectricityBaseQ414;TRDEBQZ4^1
ElectricityBaseFM;TRDEBMc1
ElectricityBaseFQ;TRDEBQc1
