Name;Id
ElectricityPeak0117;TRDEPMF7^1
ElectricityPeak0217;TRDEPMG7^1
ElectricityPeak0317;TRDEPMH7^1
ElectricityPeak0417;TRDEPMJ7^1
ElectricityPeak0517;TRDEPMK7^1
ElectricityPeak0617;TRDEPMM7^1
ElectricityPeak0717;TRDEPMN7^1
ElectricityPeak0116;TRDEPMF6^1
ElectricityPeak0216;TRDEPMG6^1
ElectricityPeak0316;TRDEPMH6^1
ElectricityPeak0416;TRDEPMJ6^1
ElectricityPeak0516;TRDEPMK6^1
ElectricityPeak0616;TRDEPMM6^1
ElectricityPeak0716;TRDEPMN6^1
ElectricityPeak0816;TRDEPMQ6^1
ElectricityPeak0916;TRDEPMU6^1
ElectricityPeak1016;TRDEPMV6^1
ElectricityPeak1116;TRDEPMX6^1
ElectricityPeak1216;TRDEPMZ6^1
ElectricityPeak0115;TRDEPMF5^1
ElectricityPeak0215;TRDEPMG5^1
ElectricityPeak0315;TRDEPMH5^1
ElectricityPeak0415;TRDEPMJ5^1
ElectricityPeak0515;TRDEPMK5^1
ElectricityPeak0615;TRDEPMM5^1
ElectricityPeak0715;TRDEPMN5^1
ElectricityPeak0815;TRDEPMQ5^1
ElectricityPeak0915;TRDEPMU5^1
ElectricityPeak1015;TRDEPMV5^1
ElectricityPeak1115;TRDEPMX5^1
ElectricityPeak1215;TRDEPMZ5^1
ElectricityPeak0114;TRDEPMF4^1
ElectricityPeak0214;TRDEPMG4^1
ElectricityPeak0314;TRDEPMH4^1
ElectricityPeak0414;TRDEPMJ4^1
ElectricityPeak0514;TRDEPMK4^1
ElectricityPeak0614;TRDEPMM4^1
ElectricityPeak0714;TRDEPMN4^1
ElectricityPeak0814;TRDEPMQ4^1
ElectricityPeak0914;TRDEPMU4^1
ElectricityPeak1014;TRDEPMV4^1
ElectricityPeak1114;TRDEPMX4^1
ElectricityPeak1214;TRDEPMZ4^1
ElectricityPeakQ117;TRDEPQH7^1
ElectricityPeakQ217;TRDEPQM7^1
ElectricityPeakQ317;TRDEPQU7^1
ElectricityPeakQ116;TRDEPQH6^1
ElectricityPeakQ216;TRDEPQM6^1
ElectricityPeakQ316;TRDEPQU6^1
ElectricityPeakQ416;TRDEPQZ6^1
ElectricityPeakQ115;TRDEPQH5^1
ElectricityPeakQ215;TRDEPQM5^1
ElectricityPeakQ315;TRDEPQU5^1
ElectricityPeakQ415;TRDEPQZ5^1
ElectricityPeakQ114;TRDEPQH4^1
ElectricityPeakQ214;TRDEPQM4^1
ElectricityPeakQ314;TRDEPQU4^1
ElectricityPeakQ414;TRDEPQZ4^1
ElectricityPeakFM;TRDEPMc1
ElectricityPeakFQ;TRDEPQc1
