Name;Id
GP0117;TRDEGSPMF7^1
GP0217;TRDEGSPMG7^1
GP0317;TRDEGSPMH7^1
GP0417;TRDEGSPMJ7^1
GP0517;TRDEGSPMK7^1
GP0617;TRDEGSPMM7^1
GP0717;TRDEGSPMN7^1
GP0116;TRDEGSPMF6^1
GP0216;TRDEGSPMG6^1
GP0316;TRDEGSPMH6^1
GP0416;TRDEGSPMJ6^1
GP0516;TRDEGSPMK6^1
GP0616;TRDEGSPMM6^1
GP0716;TRDEGSPMN6^1
GP0816;TRDEGSPMQ6^1
GP0916;TRDEGSPMU6^1
GP1016;TRDEGSPMV6^1
GP1116;TRDEGSPMX6^1
GP1216;TRDEGSPMZ6^1
GP0115;TRDEGSPMF5^1
GP0215;TRDEGSPMG5^1
GP0315;TRDEGSPMH5^1
GP0415;TRDEGSPMJ5^1
GP0515;TRDEGSPMK5^1
GP0615;TRDEGSPMM5^1
GP0715;TRDEGSPMN5^1
GP0815;TRDEGSPMQ5^1
GP0915;TRDEGSPMU5^1
GP1015;TRDEGSPMV5^1
GP1115;TRDEGSPMX5^1
GP1215;TRDEGSPMZ5^1
GP0114;TRDEGSPMF4^1
GP0214;TRDEGSPMG4^1
GP0314;TRDEGSPMH4^1
GP0414;TRDEGSPMJ4^1
GP0514;TRDEGSPMK4^1
GP0614;TRDEGSPMM4^1
GP0714;TRDEGSPMN4^1
GP0814;TRDEGSPMQ4^1
GP0914;TRDEGSPMU4^1
GP1014;TRDEGSPMV4^1
GP1114;TRDEGSPMX4^1
GP1214;TRDEGSPMZ4^1
GPQ117;TRDEGSPQH7^1
GPQ217;TRDEGSPQM7^1
GPQ317;TRDEGSPQU7^1
GPQ116;TRDEGSPQH6^1
GPQ216;TRDEGSPQM6^1
GPQ316;TRDEGSPQU6^1
GPQ416;TRDEGSPQZ6^1
GPQ115;TRDEGSPQH5^1
GPQ215;TRDEGSPQM5^1
GPQ315;TRDEGSPQU5^1
GPQ415;TRDEGSPQZ5^1
GPQ114;TRDEGSPQH4^1
GPQ214;TRDEGSPQM4^1
GPQ314;TRDEGSPQU4^1
GPQ414;TRDEGSPQZ4^1
GPS114;TRDEGSPSH4^1
GPS214;TRDEGSPSU4^1
GPFM;TRDEGSPMc1
GPFQ;TRDEGSPQc1
GPFS;TRDEGSPSc1
GPS115;TRDEGSPSH5^1
GPS215;TRDEGSPSU5^1
GPS116;TRDEGSPSH6^1
GPS216;TRDEGSPSU6^1
GPS117;TRDEGSPSH7^1
GPS217;TRDEGSPSU7^1
GPDA;TRDEGSPD1
