Name;Id
NBP0117;TRGBNBPMF7^1
NBP0217;TRGBNBPMG7^1
NBP0317;TRGBNBPMH7^1
NBP0417;TRGBNBPMJ7^1
NBP0517;TRGBNBPMK7^1
NBP0617;TRGBNBPMM7^1
NBP0717;TRGBNBPMN7^1
NBP0116;TRGBNBPMF6^1
NBP0216;TRGBNBPMG6^1
NBP0316;TRGBNBPMH6^1
NBP0416;TRGBNBPMJ6^1
NBP0516;TRGBNBPMK6^1
NBP0616;TRGBNBPMM6^1
NBP0716;TRGBNBPMN6^1
NBP0816;TRGBNBPMQ6^1
NBP0916;TRGBNBPMU6^1
NBP1016;TRGBNBPMV6^1
NBP1116;TRGBNBPMX6^1
NBP1216;TRGBNBPMZ6^1
NBP0115;TRGBNBPMF5^1
NBP0215;TRGBNBPMG5^1
NBP0315;TRGBNBPMH5^1
NBP0415;TRGBNBPMJ5^1
NBP0515;TRGBNBPMK5^1
NBP0615;TRGBNBPMM5^1
NBP0715;TRGBNBPMN5^1
NBP0815;TRGBNBPMQ5^1
NBP0915;TRGBNBPMU5^1
NBP1015;TRGBNBPMV5^1
NBP1115;TRGBNBPMX5^1
NBP1215;TRGBNBPMZ5^1
NBP0114;TRGBNBPMF4^1
NBP0214;TRGBNBPMG4^1
NBP0314;TRGBNBPMH4^1
NBP0414;TRGBNBPMJ4^1
NBP0514;TRGBNBPMK4^1
NBP0614;TRGBNBPMM4^1
NBP0714;TRGBNBPMN4^1
NBP0814;TRGBNBPMQ4^1
NBP0914;TRGBNBPMU4^1
NBP1014;TRGBNBPMV4^1
NBP1114;TRGBNBPMX4^1
NBP1214;TRGBNBPMZ4^1
NBPQ117;TRGBNBPQH7^1
NBPQ217;TRGBNBPQM7^1
NBPQ317;TRGBNBPQU7^1
NBPQ116;TRGBNBPQH6^1
NBPQ216;TRGBNBPQM6^1
NBPQ316;TRGBNBPQU6^1
NBPQ416;TRGBNBPQZ6^1
NBPQ115;TRGBNBPQH5^1
NBPQ215;TRGBNBPQM5^1
NBPQ315;TRGBNBPQU5^1
NBPQ415;TRGBNBPQZ5^1
NBPQ114;TRGBNBPQH4^1
NBPQ214;TRGBNBPQM4^1
NBPQ314;TRGBNBPQU4^1
NBPQ414;TRGBNBPQZ4^1
NBPS114;TRGBNBPSH4^1
NBPS214;TRGBNBPSU4^1
NBPFM;TRGBNBPMc1
NBPFQ;TRGBNBPQc1
NBPFS;TRGBNBPSc1
NBPS115;TRGBNBPSH5^1
NBPS215;TRGBNBPSU5^1
NBPS116;TRGBNBPSH6^1
NBPS216;TRGBNBPSU6^1
NBPS117;TRGBNBPSH7^1
NBPS217;TRGBNBPSU7^1
NBPDA;TRGBNBPD1
