Name;Id
Oil0117;LCOF7^1
Oil0217;LCOG7^1
Oil0317;LCOH7^1
Oil0417;LCOJ7^1
Oil0517;LCOK7^1
Oil0617;LCOM7^1
Oil0717;LCON7^1
Oil0116;LCOF6^1
Oil0216;LCOG6^1
Oil0316;LCOH6^1
Oil0416;LCOJ6^1
Oil0516;LCOK6^1
Oil0616;LCOM6^1
Oil0716;LCON6^1
Oil0816;LCOQ6^1
Oil0916;LCOU6^1
Oil1016;LCOV6^1
Oil1116;LCOX6^1
Oil1216;LCOZ6^1
Oil0115;LCOF5^1
Oil0215;LCOG5^1
Oil0315;LCOH5^1
Oil0415;LCOJ5^1
Oil0515;LCOK5^1
Oil0615;LCOM5^1
Oil0715;LCON5^1
Oil0815;LCOQ5^1
Oil0915;LCOU5^1
Oil1015;LCOV5^1
Oil1115;LCOX5^1
Oil1215;LCOZ5^1
Oil0114;LCOF4^1
Oil0214;LCOG4^1
Oil0314;LCOH4^1
Oil0414;LCOJ4^1
Oil0514;LCOK4^1
Oil0614;LCOM4^1
Oil0714;LCON4^1
Oil0814;LCOQ4^1
Oil0914;LCOU4^1
Oil1014;LCOV4^1
Oil1114;LCOX4^1
Oil1214;LCOZ4^1
OilFM;LCOc1
