Name;Id
TTF0117;TRNLTTFMF7^1
TTF0217;TRNLTTFMG7^1
TTF0317;TRNLTTFMH7^1
TTF0417;TRNLTTFMJ7^1
TTF0517;TRNLTTFMK7^1
TTF0617;TRNLTTFMM7^1
TTF0717;TRNLTTFMN7^1
TTF0116;TRNLTTFMF6^1
TTF0216;TRNLTTFMG6^1
TTF0316;TRNLTTFMH6^1
TTF0416;TRNLTTFMJ6^1
TTF0516;TRNLTTFMK6^1
TTF0616;TRNLTTFMM6^1
TTF0716;TRNLTTFMN6^1
TTF0816;TRNLTTFMQ6^1
TTF0916;TRNLTTFMU6^1
TTF1016;TRNLTTFMV6^1
TTF1116;TRNLTTFMX6^1
TTF1216;TRNLTTFMZ6^1
TTF0115;TRNLTTFMF5^1
TTF0215;TRNLTTFMG5^1
TTF0315;TRNLTTFMH5^1
TTF0415;TRNLTTFMJ5^1
TTF0515;TRNLTTFMK5^1
TTF0615;TRNLTTFMM5^1
TTF0715;TRNLTTFMN5^1
TTF0815;TRNLTTFMQ5^1
TTF0915;TRNLTTFMU5^1
TTF1015;TRNLTTFMV5^1
TTF1115;TRNLTTFMX5^1
TTF1215;TRNLTTFMZ5^1
TTF0114;TRNLTTFMF4^1
TTF0214;TRNLTTFMG4^1
TTF0314;TRNLTTFMH4^1
TTF0414;TRNLTTFMJ4^1
TTF0514;TRNLTTFMK4^1
TTF0614;TRNLTTFMM4^1
TTF0714;TRNLTTFMN4^1
TTF0814;TRNLTTFMQ4^1
TTF0914;TRNLTTFMU4^1
TTF1014;TRNLTTFMV4^1
TTF1114;TRNLTTFMX4^1
TTF1214;TRNLTTFMZ4^1
TTFQ117;TRNLTTFQH7^1
TTFQ217;TRNLTTFQM7^1
TTFQ317;TRNLTTFQU7^1
TTFQ116;TRNLTTFQH6^1
TTFQ216;TRNLTTFQM6^1
TTFQ316;TRNLTTFQU6^1
TTFQ416;TRNLTTFQZ6^1
TTFQ115;TRNLTTFQH5^1
TTFQ215;TRNLTTFQM5^1
TTFQ315;TRNLTTFQU5^1
TTFQ415;TRNLTTFQZ5^1
TTFQ114;TRNLTTFQH4^1
TTFQ214;TRNLTTFQM4^1
TTFQ314;TRNLTTFQU4^1
TTFQ414;TRNLTTFQZ4^1
TTFS114;TRNLTTFSH4^1
TTFS214;TRNLTTFSU4^1
TTFFM;TRNLTTFMc1
TTFFQ;TRNLTTFQc1
TTFFS;TRNLTTFSc1
TTFS115;TRNLTTFSH5^1
TTFS215;TRNLTTFSU5^1
TTFS116;TRNLTTFSH6^1
TTFS216;TRNLTTFSU6^1
TTFS117;TRNLTTFSH7^1
TTFS217;TRNLTTFSU7^1
TTFDA;TRNLTTFD1
