Architecture,Batchsize,Dropout,Epochs,LearningRate,Length,Model,TrainObs,TrainableParams,Variables,binary_crossentropy,binary_crossentropyref
8,20,0.0,1000,0.0001,20,lstm,744,425,TTFDA_EURGBPFX,0.46026630233973265,0.5075514093621799
16,20,0.0,1000,0.0001,20,lstm,744,1361,TTFDA_EURGBPFX,0.4969045758267404,0.5075514093621799
32,20,0.0,1000,0.0001,20,lstm,744,4769,TTFDA_EURGBPFX,0.6694848254693532,0.5075514093621799
8,20,0.25,1000,0.0001,20,lstm,744,425,TTFDA_EURGBPFX,0.48069949754543845,0.5075514093621799
16,20,0.25,1000,0.0001,20,lstm,744,1361,TTFDA_EURGBPFX,0.4822016176216865,0.5075514093621799
32,20,0.25,1000,0.0001,20,lstm,744,4769,TTFDA_EURGBPFX,0.4621302220189283,0.5075514093621799
8,20,0.5,1000,0.0001,20,lstm,744,425,TTFDA_EURGBPFX,0.5213449604168374,0.5075514093621799
16,20,0.5,1000,0.0001,20,lstm,744,1361,TTFDA_EURGBPFX,0.4691905502670555,0.5075514093621799
32,20,0.5,1000,0.0001,20,lstm,744,4769,TTFDA_EURGBPFX,0.5763705959393373,0.5075514093621799
8,20,0.0,1000,0.001,20,lstm,744,425,TTFDA_EURGBPFX,0.5471439759737702,0.5075514093621799
16,20,0.0,1000,0.001,20,lstm,744,1361,TTFDA_EURGBPFX,0.6124222434766751,0.5075514093621799
32,20,0.0,1000,0.001,20,lstm,744,4769,TTFDA_EURGBPFX,0.5661315780289637,0.5075514093621799
8,20,0.25,1000,0.001,20,lstm,744,425,TTFDA_EURGBPFX,0.5086707255893177,0.5075514093621799
16,20,0.25,1000,0.001,20,lstm,744,1361,TTFDA_EURGBPFX,0.4499421546846548,0.5075514093621799
32,20,0.25,1000,0.001,20,lstm,744,4769,TTFDA_EURGBPFX,0.6979568776754682,0.5075514093621799
8,20,0.5,1000,0.001,20,lstm,744,425,TTFDA_EURGBPFX,0.4689425372027902,0.5075514093621799
16,20,0.5,1000,0.001,20,lstm,744,1361,TTFDA_EURGBPFX,0.4557152866768921,0.5075514093621799
32,20,0.5,1000,0.001,20,lstm,744,4769,TTFDA_EURGBPFX,0.7788974214605352,0.5075514093621799
8,20,0.0,1000,0.01,20,lstm,744,425,TTFDA_EURGBPFX,,0.5075514093621799
16,20,0.0,1000,0.01,20,lstm,744,1361,TTFDA_EURGBPFX,0.4729373118576033,0.5075514093621799
32,20,0.0,1000,0.01,20,lstm,744,4769,TTFDA_EURGBPFX,,0.5075514093621799
8,20,0.25,1000,0.01,20,lstm,744,425,TTFDA_EURGBPFX,,0.5075514093621799
16,20,0.25,1000,0.01,20,lstm,744,1361,TTFDA_EURGBPFX,0.46727699664845734,0.5075514093621799
32,20,0.25,1000,0.01,20,lstm,744,4769,TTFDA_EURGBPFX,,0.5075514093621799
8,20,0.5,1000,0.01,20,lstm,744,425,TTFDA_EURGBPFX,,0.5075514093621799
16,20,0.5,1000,0.01,20,lstm,744,1361,TTFDA_EURGBPFX,,0.5075514093621799
32,20,0.5,1000,0.01,20,lstm,744,4769,TTFDA_EURGBPFX,,0.5075514093621799
8,20,0.0,1000,0.1,20,lstm,744,425,TTFDA_EURGBPFX,0.6158774366542217,0.5075514093621799
16,20,0.0,1000,0.1,20,lstm,744,1361,TTFDA_EURGBPFX,0.5409787187492976,0.5075514093621799
32,20,0.0,1000,0.1,20,lstm,744,4769,TTFDA_EURGBPFX,0.7095552745665754,0.5075514093621799
8,20,0.25,1000,0.1,20,lstm,744,425,TTFDA_EURGBPFX,0.5720735697816777,0.5075514093621799
16,20,0.25,1000,0.1,20,lstm,744,1361,TTFDA_EURGBPFX,0.5423114831729602,0.5075514093621799
32,20,0.25,1000,0.1,20,lstm,744,4769,TTFDA_EURGBPFX,0.822055554938733,0.5075514093621799
8,20,0.5,1000,0.1,20,lstm,744,425,TTFDA_EURGBPFX,0.5602353160740227,0.5075514093621799
16,20,0.5,1000,0.1,20,lstm,744,1361,TTFDA_EURGBPFX,0.6642537273626815,0.5075514093621799
32,20,0.5,1000,0.1,20,lstm,744,4769,TTFDA_EURGBPFX,0.6658831949230604,0.5075514093621799
8,20,0.0,1000,0.0001,20,rnn,744,105,EURUSDFX,0.5068309628655032,0.5075514093621799
16,20,0.0,1000,0.0001,20,rnn,744,337,EURUSDFX,0.4613952713127258,0.5075514093621799
32,20,0.0,1000,0.0001,20,rnn,744,1185,EURUSDFX,0.46067673690687183,0.5075514093621799
8,20,0.25,1000,0.0001,20,rnn,744,105,EURUSDFX,0.4899298691901789,0.5075514093621799
16,20,0.25,1000,0.0001,20,rnn,744,337,EURUSDFX,0.460437612057293,0.5075514093621799
32,20,0.25,1000,0.0001,20,rnn,744,1185,EURUSDFX,0.4538973460514699,0.5075514093621799
8,20,0.5,1000,0.0001,20,rnn,744,105,EURUSDFX,0.5265436823009163,0.5075514093621799
16,20,0.5,1000,0.0001,20,rnn,744,337,EURUSDFX,0.5044800313690336,0.5075514093621799
32,20,0.5,1000,0.0001,20,rnn,744,1185,EURUSDFX,0.46959132749226784,0.5075514093621799
8,20,0.0,1000,0.001,20,rnn,744,105,EURUSDFX,0.47390682385954,0.5075514093621799
16,20,0.0,1000,0.001,20,rnn,744,337,EURUSDFX,0.632954927447993,0.5075514093621799
32,20,0.0,1000,0.001,20,rnn,744,1185,EURUSDFX,0.7800149781030077,0.5075514093621799
8,20,0.25,1000,0.001,20,rnn,744,105,EURUSDFX,0.4663565586864327,0.5075514093621799
16,20,0.25,1000,0.001,20,rnn,744,337,EURUSDFX,0.5096919216811456,0.5075514093621799
32,20,0.25,1000,0.001,20,rnn,744,1185,EURUSDFX,0.4754219444218888,0.5075514093621799
8,20,0.5,1000,0.001,20,rnn,744,105,EURUSDFX,0.4555449407267314,0.5075514093621799
16,20,0.5,1000,0.001,20,rnn,744,337,EURUSDFX,0.4736732602399844,0.5075514093621799
32,20,0.5,1000,0.001,20,rnn,744,1185,EURUSDFX,0.4849570460804683,0.5075514093621799
8,20,0.0,1000,0.01,20,rnn,744,105,EURUSDFX,0.4728977423917733,0.5075514093621799
16,20,0.0,1000,0.01,20,rnn,744,337,EURUSDFX,0.8098347490985512,0.5075514093621799
32,20,0.0,1000,0.01,20,rnn,744,1185,EURUSDFX,0.903211659085229,0.5075514093621799
8,20,0.25,1000,0.01,20,rnn,744,105,EURUSDFX,0.46724212003661497,0.5075514093621799
16,20,0.25,1000,0.01,20,rnn,744,337,EURUSDFX,0.47486871554421123,0.5075514093621799
32,20,0.25,1000,0.01,20,rnn,744,1185,EURUSDFX,0.5016599582741037,0.5075514093621799
8,20,0.5,1000,0.01,20,rnn,744,105,EURUSDFX,0.4726198254067386,0.5075514093621799
16,20,0.5,1000,0.01,20,rnn,744,337,EURUSDFX,0.46838408501231066,0.5075514093621799
32,20,0.5,1000,0.01,20,rnn,744,1185,EURUSDFX,0.6722904300469416,0.5075514093621799
8,20,0.0,1000,0.1,20,rnn,744,105,EURUSDFX,0.6786400134104394,0.5075514093621799
16,20,0.0,1000,0.1,20,rnn,744,337,EURUSDFX,0.5150077046566112,0.5075514093621799
32,20,0.0,1000,0.1,20,rnn,744,1185,EURUSDFX,1.2681270477972844,0.5075514093621799
8,20,0.25,1000,0.1,20,rnn,744,105,EURUSDFX,0.6901469244264937,0.5075514093621799
16,20,0.25,1000,0.1,20,rnn,744,337,EURUSDFX,0.7707505433545423,0.5075514093621799
32,20,0.25,1000,0.1,20,rnn,744,1185,EURUSDFX,1.2721275088367283,0.5075514093621799
8,20,0.5,1000,0.1,20,rnn,744,105,EURUSDFX,0.5828996291921583,0.5075514093621799
16,20,0.5,1000,0.1,20,rnn,744,337,EURUSDFX,0.49361221336369854,0.5075514093621799
32,20,0.5,1000,0.1,20,rnn,744,1185,EURUSDFX,1.4590371799588289,0.5075514093621799
8,20,0.0,1000,0.0001,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5008144718745062,0.5075514093621799
