Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,0,0.0001,20,lstm,0.5782821194459034,0.6121163207997558,TTFDA_EURGBPFX
8,20,0.0,300,1,0.0001,20,lstm,0.5728352226877725,0.5900365851258719,TTFDA_EURGBPFX
8,20,0.0,300,2,0.0001,20,lstm,0.5689214884593923,0.5689236358288796,TTFDA_EURGBPFX
8,20,0.0,300,3,0.0001,20,lstm,0.5662022470146097,0.5490461047939075,TTFDA_EURGBPFX
8,20,0.0,300,4,0.0001,20,lstm,0.5634606743371615,0.5314682989671666,TTFDA_EURGBPFX
8,20,0.0,300,5,0.0001,20,lstm,0.5608559362990881,0.5155844303869432,TTFDA_EURGBPFX
8,20,0.0,300,6,0.0001,20,lstm,0.5580539296391189,0.5016425540370326,TTFDA_EURGBPFX
8,20,0.0,300,7,0.0001,20,lstm,0.5545353738851445,0.4898380899942049,TTFDA_EURGBPFX
8,20,0.0,300,8,0.0001,20,lstm,0.5511382017084347,0.4787145732871948,TTFDA_EURGBPFX
8,20,0.0,300,9,0.0001,20,lstm,0.5484937970997185,0.4677599199036116,TTFDA_EURGBPFX
8,20,0.0,300,10,0.0001,20,lstm,0.5455953206426354,0.4578059818795932,TTFDA_EURGBPFX
8,20,0.0,300,11,0.0001,20,lstm,0.5425870918458507,0.4480462867406107,TTFDA_EURGBPFX
8,20,0.0,300,12,0.0001,20,lstm,0.5402056997822177,0.4393172248076367,TTFDA_EURGBPFX
8,20,0.0,300,13,0.0001,20,lstm,0.5388114596566846,0.4317401615522241,TTFDA_EURGBPFX
8,20,0.0,300,14,0.0001,20,lstm,0.5373162649652009,0.42449946316980547,TTFDA_EURGBPFX
8,20,0.0,300,15,0.0001,20,lstm,0.5352724191322121,0.41711434673878456,TTFDA_EURGBPFX
8,20,0.0,300,16,0.0001,20,lstm,0.5333648871990943,0.4102493239346371,TTFDA_EURGBPFX
8,20,0.0,300,17,0.0001,20,lstm,0.5315848409488637,0.4038663666735413,TTFDA_EURGBPFX
8,20,0.0,300,18,0.0001,20,lstm,0.5293897505729429,0.39735968923696907,TTFDA_EURGBPFX
8,20,0.0,300,19,0.0001,20,lstm,0.5276003976662954,0.3911295892089926,TTFDA_EURGBPFX
8,20,0.0,300,20,0.0001,20,lstm,0.5257974645142914,0.3853950179232064,TTFDA_EURGBPFX
8,20,0.0,300,21,0.0001,20,lstm,0.5241593362823609,0.38019873970939266,TTFDA_EURGBPFX
8,20,0.0,300,22,0.0001,20,lstm,0.5227886109903295,0.3758547858845803,TTFDA_EURGBPFX
8,20,0.0,300,23,0.0001,20,lstm,0.5218383134693227,0.3720922470893911,TTFDA_EURGBPFX
8,20,0.0,300,24,0.0001,20,lstm,0.5209092468984665,0.3687044315600908,TTFDA_EURGBPFX
8,20,0.0,300,25,0.0001,20,lstm,0.5203786961814408,0.36580422881149477,TTFDA_EURGBPFX
8,20,0.0,300,26,0.0001,20,lstm,0.5199018399561605,0.3635136856026547,TTFDA_EURGBPFX
8,20,0.0,300,27,0.0001,20,lstm,0.5193037711164002,0.36168737509237825,TTFDA_EURGBPFX
8,20,0.0,300,28,0.0001,20,lstm,0.518824583259962,0.36008881873661475,TTFDA_EURGBPFX
8,20,0.0,300,29,0.0001,20,lstm,0.5192030471178793,0.35862188810302364,TTFDA_EURGBPFX
8,20,0.0,300,30,0.0001,20,lstm,0.5191969477361248,0.35726257181295784,TTFDA_EURGBPFX
8,20,0.0,300,31,0.0001,20,lstm,0.5188131843523313,0.3557879375994846,TTFDA_EURGBPFX
