Architecture,Batchsize,Dropout,Epochs,LearningRate,Length,Model,TrainObs,TrainableParams,binary_crossentropy,binary_crossentropyref
8,10,0,500,0.0001,20,lstm,744,361,0.5260452616519184,0.5075514093621799
16,10,0,500,0.0001,20,lstm,744,1233,0.46029517387029945,0.5075514093621799
32,10,0,500,0.0001,20,lstm,744,4513,0.5297051107070299,0.5075514093621799
8,10,0,500,0.001,20,lstm,744,361,0.5382366492963766,0.5075514093621799
16,10,0,500,0.001,20,lstm,744,1233,0.6213778798313191,0.5075514093621799
32,10,0,500,0.001,20,lstm,744,4513,0.718472160619273,0.5075514093621799
8,10,0,500,0.01,20,lstm,744,361,0.4602342328280135,0.5075514093621799
16,10,0,500,0.01,20,lstm,744,1233,,0.5075514093621799
32,10,0,500,0.01,20,lstm,744,4513,,0.5075514093621799
8,10,0,500,0.1,20,lstm,744,361,0.6425084854145685,0.5075514093621799
16,10,0,500,0.1,20,lstm,744,1233,0.5413827133034507,0.5075514093621799
32,10,0,500,0.1,20,lstm,744,4513,0.5422746026387779,0.5075514093621799
8,10,0,500,0.0001,20,rnn,744,97,0.46708799581173605,0.5075514093621799
16,10,0,500,0.0001,20,rnn,744,321,0.4697488190666322,0.5075514093621799
32,10,0,500,0.0001,20,rnn,744,1153,0.5438831267848371,0.5075514093621799
8,10,0,500,0.001,20,rnn,744,97,0.5144729084805936,0.5075514093621799
16,10,0,500,0.001,20,rnn,744,321,0.6342120910256159,0.5075514093621799
32,10,0,500,0.001,20,rnn,744,1153,0.6232241311699518,0.5075514093621799
8,10,0,500,0.01,20,rnn,744,97,0.45937228933106905,0.5075514093621799
16,10,0,500,0.01,20,rnn,744,321,0.46962944648018284,0.5075514093621799
32,10,0,500,0.01,20,rnn,744,1153,0.4807005451745476,0.5075514093621799
8,10,0,500,0.1,20,rnn,744,97,0.5428986075998945,0.5075514093621799
16,10,0,500,0.1,20,rnn,744,321,0.5891817299735492,0.5075514093621799
32,10,0,500,0.1,20,rnn,744,1153,0.8629321639265825,0.5075514093621799
8,10,0,500,0.0001,1,ffnn,744,33,0.5199044703315663,0.5075514093621799
16,10,0,500,0.0001,1,ffnn,744,65,0.507389857603978,0.5075514093621799
32,10,0,500,0.0001,1,ffnn,744,129,0.5125627643478814,0.5075514093621799
8,10,0,500,0.001,1,ffnn,744,33,0.5220464372666933,0.5075514093621799
16,10,0,500,0.001,1,ffnn,744,65,0.5127866738826357,0.5075514093621799
32,10,0,500,0.001,1,ffnn,744,129,0.5070969747800019,0.5075514093621799
8,10,0,500,0.01,1,ffnn,744,33,0.5091188463472551,0.5075514093621799
16,10,0,500,0.01,1,ffnn,744,65,0.5016554368119086,0.5075514093621799
32,10,0,500,0.01,1,ffnn,744,129,0.472125406126662,0.5075514093621799
8,10,0,500,0.1,1,ffnn,744,33,0.6143574137941644,0.5075514093621799
16,10,0,500,0.1,1,ffnn,744,65,0.5327451349641648,0.5075514093621799
32,10,0,500,0.1,1,ffnn,744,129,0.5490339339500473,0.5075514093621799
0,10,0,500,0.0001,1,ffnn_regression,744,3,0.5050124588813032,0.5075514093621799
0,10,0,500,0.001,1,ffnn_regression,744,3,0.49277964409600983,0.5075514093621799
0,10,0,500,0.01,1,ffnn_regression,744,3,0.5011578741313149,0.5075514093621799
0,10,0,500,0.1,1,ffnn_regression,744,3,5.807859784973565,0.5075514093621799
