Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss
8,100,0,1,0,0.0001,20,lstm,0.9801606003956128,0.9772986324243648
16,100,0,1,0,0.0001,20,lstm,0.5173935121105563,0.3999033296300519
32,100,0,1,0,0.0001,20,lstm,0.7787781473129026,0.7385865901747057
8,100,0,1,0,0.001,20,lstm,0.7237341218097235,0.7881433329274578
16,100,0,1,0,0.001,20,lstm,0.5675394137700399,0.75465198421991
32,100,0,1,0,0.001,20,lstm,0.5543383260567983,0.5312036362386519
8,100,0,1,0,0.01,20,lstm,0.5218620031110702,0.41253161830927737
16,100,0,1,0,0.01,20,lstm,0.5535165180442154,0.5517173795610346
32,100,0,1,0,0.01,20,lstm,0.5660704675541129,0.395916800345144
8,100,0,1,0,0.1,20,lstm,0.5621409179061971,0.6116325339322449
16,100,0,1,0,0.1,20,lstm,0.5395706023580285,0.536440102323409
32,100,0,1,0,0.1,20,lstm,0.6960204371842005,0.4819328600680956
8,100,0,1,0,0.0001,20,rnn,0.6070677711758562,0.43494450068602
16,100,0,1,0,0.0001,20,rnn,1.1391227514513078,0.8299407388574334
32,100,0,1,0,0.0001,20,rnn,0.7450067791887509,0.8091554167450116
8,100,0,1,0,0.001,20,rnn,0.49365949150054683,0.4559819709549668
16,100,0,1,0,0.001,20,rnn,0.5312608954727008,0.39728573445350895
32,100,0,1,0,0.001,20,rnn,0.5095821593397407,0.8345523130509162
8,100,0,1,0,0.01,20,rnn,0.5539209294703699,0.5102133706051816
16,100,0,1,0,0.01,20,rnn,0.5115853147481078,0.6169788782955498
32,100,0,1,0,0.01,20,rnn,0.5220216717771304,0.40210800722081175
8,100,0,1,0,0.1,20,rnn,0.5649491375492465,0.4499145632469526
16,100,0,1,0,0.1,20,rnn,0.5663947549558455,0.4904473656287757
32,100,0,1,0,0.1,20,rnn,1.0194985747978251,0.5536402672208766
8,100,0,1,0,0.0001,1,ffnn,0.6913095731889048,0.696420031850056
16,100,0,1,0,0.0001,1,ffnn,0.6538563543750394,0.632911366480653
32,100,0,1,0,0.0001,1,ffnn,0.665731785117939,0.6700004467400171
8,100,0,1,0,0.001,1,ffnn,0.6837878868144046,0.702842947295917
16,100,0,1,0,0.001,1,ffnn,0.7182592268913023,0.759367565313975
32,100,0,1,0,0.001,1,ffnn,0.6968219152060888,0.6966372484801918
8,100,0,1,0,0.01,1,ffnn,0.6181381267886008,0.6393150366762633
16,100,0,1,0,0.01,1,ffnn,0.6062488709726641,0.6855231481854633
32,100,0,1,0,0.01,1,ffnn,0.5734438992315724,0.6908979169143143
8,100,0,1,0,0.1,1,ffnn,0.5244831112764214,0.5351345765013849
16,100,0,1,0,0.1,1,ffnn,0.5204170807715385,0.4812083918881673
32,100,0,1,0,0.1,1,ffnn,0.5065198732960609,0.42465913439950637
0,100,0,1,0,0.0001,1,ffnn_regression,1.0433447046946454,1.4036226599447188
0,100,0,1,0,0.001,1,ffnn_regression,0.5355913940296378,0.9969641325935241
0,100,0,1,0,0.01,1,ffnn_regression,0.49550037967261445,0.43805711195673996
0,100,0,1,0,0.1,1,ffnn_regression,3.7262264015854045,1.8462832654996584
