Architecture,Batchsize,Dropout,Epochs,LearningRate,Length,Model,TrainObs,TrainableParams,Variables,mse,mseref
8,20,0.0,300,0.0001,20,lstm,677,457,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.7874438311822276,0.10651505376344085
16,20,0.0,300,0.0001,20,lstm,677,1425,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.4370509097673023,0.10651505376344085
32,20,0.0,300,0.0001,20,lstm,677,4897,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.78163775138589,0.10651505376344085
8,20,0.25,300,0.0001,20,lstm,677,457,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,3.26211180001091,0.10651505376344085
16,20,0.25,300,0.0001,20,lstm,677,1425,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,2.100012293453376,0.10651505376344085
32,20,0.25,300,0.0001,20,lstm,677,4897,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,2.6764505124350135,0.10651505376344085
8,20,0.5,300,0.0001,20,lstm,677,457,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.9797091015950974,0.10651505376344085
16,20,0.5,300,0.0001,20,lstm,677,1425,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,0.6931719786418905,0.10651505376344085
32,20,0.5,300,0.0001,20,lstm,677,4897,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.6939587694144629,0.10651505376344085
8,20,0.0,300,0.001,20,lstm,677,457,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,0.6131375552541086,0.10651505376344085
16,20,0.0,300,0.001,20,lstm,677,1425,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.9489077879713308,0.10651505376344085
32,20,0.0,300,0.001,20,lstm,677,4897,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,5.594976660781166,0.10651505376344085
8,20,0.25,300,0.001,20,lstm,677,457,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.1337415973988147,0.10651505376344085
16,20,0.25,300,0.001,20,lstm,677,1425,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.4207774283623964,0.10651505376344085
32,20,0.25,300,0.001,20,lstm,677,4897,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,6.508053726151797,0.10651505376344085
8,20,0.5,300,0.001,20,lstm,677,457,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,1.9945210174440424,0.10651505376344085
16,20,0.5,300,0.001,20,lstm,677,1425,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,2.681896153673528,0.10651505376344085
32,20,0.5,300,0.001,20,lstm,677,4897,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,6.512896568209017,0.10651505376344085
8,20,0.0,300,0.01,20,lstm,677,457,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,5.8222980871159224,0.10651505376344085
16,20,0.0,300,0.01,20,lstm,677,1425,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,4.27246229364374,0.10651505376344085
32,20,0.0,300,0.01,20,lstm,677,4897,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,10.975065808691344,0.10651505376344085
8,20,0.25,300,0.01,20,lstm,677,457,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,0.722820555313653,0.10651505376344085
16,20,0.25,300,0.01,20,lstm,677,1425,TradeBBL_StorageUK_TradeIUK_ConNLDZNL,18.511431046681782,0.10651505376344085
