Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,0,0.0001,20,lstm,0.21933154897984639,0.07607473490245233,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,1,0.0001,20,lstm,0.23783655272376153,0.06141418323162916,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,2,0.0001,20,lstm,0.25652923058438043,0.05080263362303266,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,3,0.0001,20,lstm,0.27402653232697516,0.04301723994677845,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,4,0.0001,20,lstm,0.28912179909085717,0.037781167401212706,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,5,0.0001,20,lstm,0.2988731192965661,0.034386537325302995,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,6,0.0001,20,lstm,0.3045009848892048,0.03197379805356748,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,7,0.0001,20,lstm,0.30610286997210595,0.030101281878272927,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,8,0.0001,20,lstm,0.30500308512359536,0.02841826890109649,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,9,0.0001,20,lstm,0.3020721725238267,0.02683331097092375,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,10,0.0001,20,lstm,0.3009388083892484,0.025299036135261486,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,11,0.0001,20,lstm,0.296620241736853,0.02392946259893114,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,12,0.0001,20,lstm,0.2928299709994306,0.02266202901147493,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,13,0.0001,20,lstm,0.28688854219452026,0.02144519989124253,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,14,0.0001,20,lstm,0.28107036393816753,0.020255467415604318,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,15,0.0001,20,lstm,0.27392829778373884,0.01916357991526363,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,16,0.0001,20,lstm,0.26831595391355534,0.018124353005777787,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,17,0.0001,20,lstm,0.26159420793735855,0.017160926801063108,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,18,0.0001,20,lstm,0.25261630053802203,0.01621144236322696,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,19,0.0001,20,lstm,0.24442883100240462,0.015341894981758105,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,20,0.0001,20,lstm,0.23724493624702578,0.014535420732448866,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,21,0.0001,20,lstm,0.229119989099682,0.013791973400651924,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,22,0.0001,20,lstm,0.22014295806487402,0.013120230085779108,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
