Architecture,Batchsize,Dropout,Epochs,LearningRate,Length,Model,TrainObs,TrainableParams,mse,mseref
8,20,0,300,0.0001,20,lstm,744,329,0.8160027689358187,0.10651505376344085
16,20,0,300,0.0001,20,lstm,744,1169,0.41898173050908816,0.10651505376344085
32,20,0,300,0.0001,20,lstm,744,4385,0.5868097242456628,0.10651505376344085
8,20,0,300,0.001,20,lstm,744,329,0.49295437560922134,0.10651505376344085
16,20,0,300,0.001,20,lstm,744,1169,0.6506340751441342,0.10651505376344085
32,20,0,300,0.001,20,lstm,744,4385,0.3905577425265574,0.10651505376344085
8,20,0,300,0.01,20,lstm,744,329,0.914434901776418,0.10651505376344085
16,20,0,300,0.01,20,lstm,744,1169,13.073890967083972,0.10651505376344085
32,20,0,300,0.01,20,lstm,744,4385,12.921668454572076,0.10651505376344085
8,20,0,300,0.1,20,lstm,744,329,0.34194965124838833,0.10651505376344085
16,20,0,300,0.1,20,lstm,744,1169,202.671230604799,0.10651505376344085
32,20,0,300,0.1,20,lstm,744,4385,232.64834481582488,0.10651505376344085
8,20,0,300,0.0001,20,rnn,744,89,0.19716565760753293,0.10651505376344085
16,20,0,300,0.0001,20,rnn,744,305,2.483098195634897,0.10651505376344085
32,20,0,300,0.0001,20,rnn,744,1121,0.2688221654824619,0.10651505376344085
8,20,0,300,0.001,20,rnn,744,89,0.16534319982149878,0.10651505376344085
16,20,0,300,0.001,20,rnn,744,305,0.2116104830372658,0.10651505376344085
32,20,0,300,0.001,20,rnn,744,1121,5.36526368647508,0.10651505376344085
8,20,0,300,0.01,20,rnn,744,89,2.464404949566056,0.10651505376344085
16,20,0,300,0.01,20,rnn,744,305,2.1481718299353516,0.10651505376344085
32,20,0,300,0.01,20,rnn,744,1121,1.216043902838932,0.10651505376344085
8,20,0,300,0.1,20,rnn,744,89,15.52643939884706,0.10651505376344085
16,20,0,300,0.1,20,rnn,744,305,232.57421283599282,0.10651505376344085
32,20,0,300,0.1,20,rnn,744,1121,232.64834481582488,0.10651505376344085
8,20,0,300,0.0001,1,ffnn,744,25,45.06788793273664,0.10651505376344085
16,20,0,300,0.0001,1,ffnn,744,49,43.951438678150616,0.10651505376344085
32,20,0,300,0.0001,1,ffnn,744,97,43.55012122006977,0.10651505376344085
8,20,0,300,0.001,1,ffnn,744,25,51.80674938091612,0.10651505376344085
16,20,0,300,0.001,1,ffnn,744,49,38.97712372896665,0.10651505376344085
32,20,0,300,0.001,1,ffnn,744,97,39.497415448875245,0.10651505376344085
8,20,0,300,0.01,1,ffnn,744,25,1.3011946696399734,0.10651505376344085
16,20,0,300,0.01,1,ffnn,744,49,1.8878563521984946,0.10651505376344085
32,20,0,300,0.01,1,ffnn,744,97,2.033825967807617,0.10651505376344085
8,20,0,300,0.1,1,ffnn,744,25,1.113502137680583,0.10651505376344085
16,20,0,300,0.1,1,ffnn,744,49,1.9270559560476672,0.10651505376344085
32,20,0,300,0.1,1,ffnn,744,97,1.677180854812486,0.10651505376344085
0,20,0,300,0.0001,1,ffnn_regression,744,2,29.517137988733445,0.10651505376344085
0,20,0,300,0.001,1,ffnn_regression,744,2,13.068645542788198,0.10651505376344085
0,20,0,300,0.01,1,ffnn_regression,744,2,1.594715867946695,0.10651505376344085
0,20,0,300,0.1,1,ffnn_regression,744,2,1.8462483337801268,0.10651505376344085
